Price,Close,High,Low,Open,Volume,RSI,MA_Short,MA_Long,EMA_12,EMA_26,MACD,Signal_Line,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,Volume_MA,RSI_Buy_Signal,MA_Crossover,Buy_Signal,Sell_Signal
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,,,
2023-03-24,1009.8160400390625,1031.2195961032824,1007.3869710951456,1029.042562610501,12375945,27.048175986196114,1028.7057067871094,1069.6848449707031,1037.7629004456885,1057.3985064576898,-19.63560601200129,-16.999840004942023,-2.6357660070592672,1056.0284393310546,1119.384144092091,992.6727345700183,15852774.2,1,0,1,0
2023-03-27,1025.513427734375,1033.0527910081307,1008.3952628701555,1016.3241960797575,14054323,29.00773383633434,1026.553887939453,1068.170859781901,1035.8783661824095,1055.0366487744814,-19.158282592071828,-17.431528522367984,-1.7267540697038442,1052.679263305664,1114.9910675214226,990.3674590899058,16083787.7,1,0,1,0
2023-03-28,1030.302978515625,1034.1986779828205,1025.2614209073392,1028.927997237986,12576424,29.319862148459706,1025.272882080078,1067.0197123209634,1035.0206142336735,1053.2045250516032,-18.1839108179297,-17.582004981480328,-0.6019058364493723,1049.9327850341797,1111.0336226021248,988.8319474662347,16152623.15,1,0,1,0
2023-03-29,1024.207275390625,1028.836289862448,1013.3909061335478,1026.1779767119626,18804065,32.92201749760062,1025.1651794433594,1064.8289408365886,1033.3570236424353,1051.0565806322716,-17.69955698983631,-17.605515383151523,-0.09404160668478667,1047.919613647461,1109.653554278979,986.1856730159427,15993124.5,1,0,1,0
2023-03-31,1068.366455078125,1074.0496790283871,1033.3737735504117,1033.5112474403347,28171201,50.983637932386856,1029.984423828125,1063.287461344401,1038.7430900171566,1052.3387935541866,-13.595703537029976,-16.803553013927214,3.2078494768972377,1047.6251434326173,1108.8845031975172,986.3657836677172,16824127.3,0,0,0,0
2023-04-03,1068.5498046875,1076.5933611535606,1061.010440404444,1074.7601334085755,10293043,56.07138650261108,1034.9503173828125,1061.7811218261718,1043.3287384279788,1053.5396091936914,-10.21087076571257,-15.485016564284287,5.274145798571716,1047.7488983154296,1109.1749638449187,986.3228327859407,16872102.7,0,0,0,0
2023-04-05,1065.983154296875,1076.1348852790402,1058.0542814385333,1076.1348852790402,16262928,56.50244199057633,1040.660986328125,1060.034161376953,1046.8140331770398,1054.4613532754088,-7.647320098368937,-13.917477271101218,6.270157172732281,1046.3842498779297,1104.6847993794424,988.083700376417,16953058.75,0,0,0,0
2023-04-06,1073.1328125,1078.8847726905456,1062.4539778157257,1062.4539778157257,18435046,64.48385058511838,1043.9494262695312,1058.9196716308593,1050.863076149803,1055.8444243290821,-4.981348179279166,-12.13025145273681,7.148903273457643,1044.8431427001954,1098.1518385620548,991.534446838336,17366215.25,0,0,0,0
2023-04-10,1065.5247802734375,1077.234912208272,1064.0123251151065,1077.0516136991828,12961408,63.523287054917105,1046.1608032226563,1057.2506205240886,1053.1187229380544,1056.5614877323678,-3.4427647943134616,-10.39275412105214,6.949989326738679,1042.7234100341798,1088.2793382685538,997.1674817998058,17225152.8,0,0,0,0
2023-04-11,1070.79541015625,1072.9266189107075,1065.158132665293,1069.7184102373308,10542367,65.11805681973331,1050.2192138671876,1056.600567626953,1055.8382132793151,1057.615852356359,-1.7776390770438866,-8.66973111225049,6.892092035206604,1042.1986297607423,1086.0955099766827,998.3017495448017,16940514.75,0,0,0,0
2023-04-12,1075.5162353515625,1085.2095986717054,1067.908135009568,1070.795450186044,18179087,70.0275220539626,1056.7892333984375,1056.2820373535155,1058.86560129043,1058.9418066523,-0.076205361870052,-6.951025962174403,6.874820600304351,1042.7474700927735,1088.0717367908474,997.4232033946996,17182764.55,0,1,1,1
2023-04-13,1079.5723876953125,1084.2930519234303,1073.385092860318,1078.4265294959243,12378208,64.1397515309849,1062.1951293945312,1055.8512186686198,1062.051260737335,1060.4699978406713,1.5812628966637021,-5.244568190406782,6.825831087070484,1044.3745086669921,1092.5903589298152,996.1586584041692,17163095.35,0,0,0,0
2023-04-17,1085.0491943359375,1111.4025973314378,1076.6161296232112,1111.4025973314378,17929479,64.72678383619981,1067.6697509765625,1055.845107014974,1065.5894043678893,1062.290679062543,3.298725305346352,-3.535909491256155,6.834634796602507,1046.4713165283204,1097.9904610707508,994.9521719858898,17258193.2,0,0,0,0
2023-04-18,1072.6287841796875,1089.4261767156875,1066.0518592606056,1089.4261767156875,10405576,65.08556841566019,1072.5119018554688,1056.1170430501302,1066.6723858773967,1063.0564646267758,3.615921250620886,-2.105543342880747,5.721464593501633,1048.838540649414,1100.608892308051,997.0681889907769,16692044.25,0,0,0,0
2023-04-19,1077.96826171875,1080.6722785012348,1068.8935304804768,1072.0330024650548,12273475,77.14496588300159,1073.4720825195313,1056.240789794922,1068.4102129299126,1064.1610421891444,4.24917074076825,-0.8346005261509475,5.0837712669191975,1051.728253173828,1103.2129077294333,1000.2435986182229,16387560.05,0,0,0,1
2023-04-20,1075.2412109375,1081.1764701886825,1068.847705399231,1078.930699694429,7007330,72.08877369539756,1074.1412231445313,1056.5463399251303,1069.4611357003107,1064.9817954297632,4.479340270547482,0.22818763318873836,4.251152637358744,1054.5457702636718,1104.61199630267,1004.4795442246736,15037215.9,0,0,0,1
2023-04-21,1076.59326171875,1082.093065674926,1070.8183887658017,1077.3494893088182,7647317,71.2095619490805,1075.2022338867187,1055.9902445475261,1070.5583858569937,1065.8419040437623,4.7164818132314394,1.1258464691972785,3.590635344034161,1057.9316101074219,1103.9924540662923,1011.8707661485514,14443352.3,0,0,0,1
2023-04-24,1080.7181396484375,1091.2135547837872,1076.1348285306533,1088.5095382132533,12936186,76.36871094706744,1075.9607666015625,1055.215684000651,1072.1214249018312,1066.9438474218864,5.17757747994483,1.936192671346789,3.241384808598041,1059.955096435547,1106.299906915906,1013.6102859551878,14020143.6,0,0,0,1
